date,latitude,longitude,fire_id
2018-01-01,36.82974299485794,-120.2683502029467,fire_21458798
2018-01-02,36.82974299485794,-120.2683502029467,fire_21458798
2018-01-03,36.82974299485794,-120.2683502029467,fire_21458798
2018-01-04,36.82974299485794,-120.2683502029467,fire_21458798
2018-01-05,36.82974299485794,-120.2683502029467,fire_21458798
2018-01-06,36.82974299485794,-120.2683502029467,fire_21458798
2018-01-07,36.82974299485794,-120.2683502029467,fire_21458798
2018-01-08,36.82974299485794,-120.2683502029467,fire_21458798
2018-01-09,36.82974299485794,-120.2683502029467,fire_21458798
2018-01-10,36.82974299485794,-120.2683502029467,fire_21458798
2018-01-11,36.82974299485794,-120.2683502029467,fire_21458798
2018-01-12,36.82974299485794,-120.2683502029467,fire_21458798
2018-01-13,36.82974299485794,-120.2683502029467,fire_21458798
2018-01-14,36.82974299485794,-120.2683502029467,fire_21458798
2018-01-25,36.72863101598021,-112.23380594920155,fire_21458801
2018-01-26,36.72863101598021,-112.23380594920155,fire_21458801
2018-01-27,36.72863101598021,-112.23380594920155,fire_21458801
2018-01-28,36.72863101598021,-112.23380594920155,fire_21458801
2018-01-29,36.72863101598021,-112.23380594920155,fire_21458801
2018-01-30,36.72863101598021,-112.23380594920155,fire_21458801
2018-01-31,36.72863101598021,-112.23380594920155,fire_21458801
2018-02-01,36.72863101598021,-112.23380594920155,fire_21458801
2018-02-02,36.72863101598021,-112.23380594920155,fire_21458801
2018-02-03,36.72863101598021,-112.23380594920155,fire_21458801
2018-02-04,36.72863101598021,-112.23380594920155,fire_21458801
2018-01-12,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-13,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-14,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-15,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-16,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-17,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-18,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-19,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-20,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-21,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-22,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-23,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-24,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-25,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-26,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-27,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-28,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-29,36.6366082217038,-120.20805126552872,fire_21458806
2018-01-30,36.6366082217038,-120.20805126552872,fire_21458806
2017-12-29,35.62481817088222,-119.25451246676369,fire_21458836
2017-12-30,35.62481817088222,-119.25451246676369,fire_21458836
2017-12-31,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-01,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-02,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-03,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-04,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-05,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-06,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-07,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-08,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-09,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-10,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-11,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-12,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-13,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-14,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-15,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-16,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-17,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-18,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-19,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-20,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-21,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-22,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-23,35.62481817088222,-119.25451246676369,fire_21458836
2018-01-24,35.62481817088222,-119.25451246676369,fire_21458836
